Zip Code,Year,Month,ZHVI,Date,Cluster,Data_Source,ZHVI_Upper,ZHVI_Lower
19102,2025,2,374494,2/1/2025,7,Historical,374494,374494
19102,2025,3,373780,3/1/2025,7,Historical,373780,373780
19102,2025,4,373500,4/1/2025,7,Historical,373500,373500
19102,2025,5,372192,5/1/2025,7,Historical,372192,372192
19102,2025,6,370689,6/1/2025,7,Historical,370689,370689
19102,2025,7,368566,7/1/2025,7,Historical,368566,368566
19102,2025,8,365837,8/1/2025,7,Historical,365837,365837
19102,2025,9,363554,9/1/2025,7,Historical,363554,363554
19102,2025,10,362443,10/1/2025,7,Historical,362443,362443
19102,2025,11,362372,11/1/2025,7,Historical,362372,362372
19102,2025,12,362181,12/1/2025,7,Historical,362181,362181
19102,2026,1,361969.9498,1/1/2026,7,Forecast,365310.6289,358629.2707
19102,2026,2,361758.8996,2/1/2026,7,Forecast,366480.5786,357037.2206
19102,2026,3,361547.8494,3/1/2026,7,Forecast,367327.3278,355768.3709
19102,2026,4,361336.7992,4/1/2026,7,Forecast,368006.4704,354667.1279
19102,2026,5,361125.749,5/1/2026,7,Forecast,368578.3127,353673.1852
19102,2026,6,360914.6987,6/1/2026,7,Forecast,369073.8021,352755.5954
19102,2026,7,360703.6485,7/1/2026,7,Forecast,369511.334,351895.9631
19102,2026,8,360492.5983,8/1/2026,7,Forecast,369902.9008,351082.2958
19102,2026,9,360281.5481,9/1/2026,7,Forecast,370256.8378,350306.2585
19102,2026,10,360070.4979,10/1/2026,7,Forecast,370579.2169,349561.7789
19102,2026,11,359859.4477,11/1/2026,7,Forecast,370874.625,348844.2704
19102,2026,12,359648.3975,12/1/2026,7,Forecast,371146.6275,348150.1675
19103,2006,1,435110,1/1/2006,2,Historical,435110,435110
19103,2006,2,437016,2/1/2006,2,Historical,437016,437016
19103,2006,3,438811,3/1/2006,2,Historical,438811,438811
19103,2006,4,441011,4/1/2006,2,Historical,441011,441011
19103,2006,5,443163,5/1/2006,2,Historical,443163,443163
19103,2006,6,446076,6/1/2006,2,Historical,446076,446076
19103,2006,7,450125,7/1/2006,2,Historical,450125,450125
19103,2006,8,453227,8/1/2006,2,Historical,453227,453227
19103,2006,9,455368,9/1/2006,2,Historical,455368,455368
19103,2006,10,455823,10/1/2006,2,Historical,455823,455823
19103,2006,11,456086,11/1/2006,2,Historical,456086,456086
19103,2006,12,457096,12/1/2006,2,Historical,457096,457096
19103,2007,1,459860,1/1/2007,2,Historical,459860,459860
19103,2007,2,463124,2/1/2007,2,Historical,463124,463124
19103,2007,3,466119,3/1/2007,2,Historical,466119,466119
19103,2007,4,467210,4/1/2007,2,Historical,467210,467210
19103,2007,5,469171,5/1/2007,2,Historical,469171,469171
19103,2007,6,471106,6/1/2007,2,Historical,471106,471106
19103,2007,7,472842,7/1/2007,2,Historical,472842,472842
19103,2007,8,472350,8/1/2007,2,Historical,472350,472350
19103,2007,9,469871,9/1/2007,2,Historical,469871,469871
19103,2007,10,468238,10/1/2007,2,Historical,468238,468238
19103,2007,11,468199,11/1/2007,2,Historical,468199,468199
19103,2007,12,469528,12/1/2007,2,Historical,469528,469528
19103,2008,1,470331,1/1/2008,2,Historical,470331,470331
19103,2008,2,472581,2/1/2008,2,Historical,472581,472581
19103,2008,3,473602,3/1/2008,2,Historical,473602,473602
19103,2008,4,475618,4/1/2008,2,Historical,475618,475618
19103,2008,5,475391,5/1/2008,2,Historical,475391,475391
19103,2008,6,474510,6/1/2008,2,Historical,474510,474510
19103,2008,7,471772,7/1/2008,2,Historical,471772,471772
19103,2008,8,467880,8/1/2008,2,Historical,467880,467880
19103,2008,9,465076,9/1/2008,2,Historical,465076,465076
19103,2008,10,463306,10/1/2008,2,Historical,463306,463306
19103,2008,11,462802,11/1/2008,2,Historical,462802,462802
19103,2008,12,458880,12/1/2008,2,Historical,458880,458880
19103,2009,1,453044,1/1/2009,2,Historical,453044,453044
19103,2009,2,447157,2/1/2009,2,Historical,447157,447157
19103,2009,3,445993,3/1/2009,2,Historical,445993,445993
19103,2009,4,447462,4/1/2009,2,Historical,447462,447462
19103,2009,5,449398,5/1/2009,2,Historical,449398,449398
19103,2009,6,449540,6/1/2009,2,Historical,449540,449540
19103,2009,7,447410,7/1/2009,2,Historical,447410,447410
19103,2009,8,444508,8/1/2009,2,Historical,444508,444508
19103,2009,9,441579,9/1/2009,2,Historical,441579,441579
19103,2009,10,439138,10/1/2009,2,Historical,439138,439138
19103,2009,11,437127,11/1/2009,2,Historical,437127,437127
19103,2009,12,434698,12/1/2009,2,Historical,434698,434698
19103,2010,1,433353,1/1/2010,2,Historical,433353,433353
19103,2010,2,432006,2/1/2010,2,Historical,432006,432006
19103,2010,3,431331,3/1/2010,2,Historical,431331,431331
19103,2010,4,430401,4/1/2010,2,Historical,430401,430401
19103,2010,5,428730,5/1/2010,2,Historical,428730,428730
19103,2010,6,426364,6/1/2010,2,Historical,426364,426364
19103,2010,7,422300,7/1/2010,2,Historical,422300,422300
19103,2010,8,416924,8/1/2010,2,Historical,416924,416924
19103,2010,9,409771,9/1/2010,2,Historical,409771,409771
19103,2010,10,403439,10/1/2010,2,Historical,403439,403439
19103,2010,11,398697,11/1/2010,2,Historical,398697,398697
19103,2010,12,394605,12/1/2010,2,Historical,394605,394605
19103,2011,1,391527,1/1/2011,2,Historical,391527,391527
19103,2011,2,388729,2/1/2011,2,Historical,388729,388729
19103,2011,3,388752,3/1/2011,2,Historical,388752,388752
19103,2011,4,387959,4/1/2011,2,Historical,387959,387959
19103,2011,5,386988,5/1/2011,2,Historical,386988,386988
19103,2011,6,384511,6/1/2011,2,Historical,384511,384511
19103,2011,7,381492,7/1/2011,2,Historical,381492,381492
19103,2011,8,379036,8/1/2011,2,Historical,379036,379036
19103,2011,9,378000,9/1/2011,2,Historical,378000,378000
19103,2011,10,378873,10/1/2011,2,Historical,378873,378873
19103,2011,11,379770,11/1/2011,2,Historical,379770,379770
19103,2011,12,381057,12/1/2011,2,Historical,381057,381057
19103,2012,1,382307,1/1/2012,2,Historical,382307,382307
19103,2012,2,381373,2/1/2012,2,Historical,381373,381373
19103,2012,3,379632,3/1/2012,2,Historical,379632,379632
19103,2012,4,378313,4/1/2012,2,Historical,378313,378313
19103,2012,5,378611,5/1/2012,2,Historical,378611,378611
19103,2012,6,380057,6/1/2012,2,Historical,380057,380057
19103,2012,7,380715,7/1/2012,2,Historical,380715,380715
19103,2012,8,381957,8/1/2012,2,Historical,381957,381957
19103,2012,9,384097,9/1/2012,2,Historical,384097,384097
19103,2012,10,386409,10/1/2012,2,Historical,386409,386409
19103,2012,11,390355,11/1/2012,2,Historical,390355,390355
19103,2012,12,393653,12/1/2012,2,Historical,393653,393653
19103,2013,1,397763,1/1/2013,2,Historical,397763,397763
19103,2013,2,399806,2/1/2013,2,Historical,399806,399806
19103,2013,3,401897,3/1/2013,2,Historical,401897,401897
19103,2013,4,403107,4/1/2013,2,Historical,403107,403107
19103,2013,5,404972,5/1/2013,2,Historical,404972,404972
19103,2013,6,405887,6/1/2013,2,Historical,405887,405887
19103,2013,7,406447,7/1/2013,2,Historical,406447,406447
19103,2013,8,407342,8/1/2013,2,Historical,407342,407342
19103,2013,9,410114,9/1/2013,2,Historical,410114,410114
19103,2013,10,414665,10/1/2013,2,Historical,414665,414665
19103,2013,11,419423,11/1/2013,2,Historical,419423,419423
19103,2013,12,424583,12/1/2013,2,Historical,424583,424583
19103,2014,1,428735,1/1/2014,2,Historical,428735,428735
19103,2014,2,431759,2/1/2014,2,Historical,431759,431759
19103,2014,3,433371,3/1/2014,2,Historical,433371,433371
19103,2014,4,434603,4/1/2014,2,Historical,434603,434603
